id,session_id,search_keyword,posts_found,users_found,comments_found,status,notes,started_at,finished_at
13,e1978986-2ceb-4e2f-84e3-1cfef5710f55,香港保险,4,4,0,completed,详情页点击受限，从搜索结果页保存 4 条帖子和 4 个用户,2026-03-09 19:09:43.921909+00:00,2026-03-09 19:11:13.326994+00:00
14,a09c4764-44a2-49ab-beb7-6e74ef327929,重疾险怎么选,4,4,0,completed,详情页点击受限，从搜索结果页保存 4 条帖子和 4 个用户,2026-03-09 19:29:28.565985+00:00,2026-03-09 19:31:21.405828+00:00
15,06478ca9-f13d-42df-9864-4c0537f88116,移民保险,4,4,0,completed,详情页点击受限，从搜索结果页保存 4 条帖子和 4 个用户,2026-03-09 19:49:36.729565+00:00,2026-03-09 19:51:35.102104+00:00
16,dc317c48-e5ae-4be1-a101-b0fe900b7e17,医疗险推荐,4,4,0,completed,详情页点击受限，从搜索结果页保存 4 条帖子和 4 个用户,2026-03-09 20:09:31.174235+00:00,2026-03-09 20:11:23.444917+00:00
17,0489d26c-4f9f-416f-810c-8db3a875d869,储蓄险,4,4,0,completed,详情页点击受限，从搜索结果页保存 4 条帖子和 4 个用户,2026-03-09 20:29:29.947328+00:00,2026-03-09 20:32:13.976857+00:00
18,d63eb5dc-e4e5-4219-9ecd-0afae4cd660d,结婚买保险,4,4,0,completed,详情页点击受限，从搜索结果页保存 4 条帖子和 4 个用户,2026-03-09 20:49:29.917509+00:00,2026-03-09 20:51:41.769238+00:00
19,0a05b603-7e09-4919-838c-285422607d36,资产配置香港,4,4,0,completed,详情页点击受限，从搜索结果页保存 4 条帖子和 4 个用户,2026-03-09 21:09:48.046357+00:00,2026-03-09 21:12:57.729554+00:00
20,9ccebc82-b730-4610-bb46-b000cbcc143b,养老规划,4,4,0,completed,详情页点击受限，从搜索结果页保存 4 条帖子和 4 个用户,2026-03-09 21:29:50.355901+00:00,2026-03-09 21:32:30.173558+00:00
21,7becde3e-e798-46b0-9184-a7a641c72e50,保险规划求助,4,4,0,completed,详情页点击受限，从搜索结果页保存 4 条帖子和 4 个用户,2026-03-09 21:49:50.642633+00:00,2026-03-09 21:52:59.302326+00:00
22,cda304c2-2307-4ba5-bd17-f7231779380b,重疾险香港,4,4,0,completed,详情页点击受限，从搜索结果页保存 4 条帖子和 4 个用户,2026-03-09 22:09:33.876535+00:00,2026-03-09 22:13:31.359252+00:00
23,4429f517-5737-4fb6-ad7c-cc9d1bf24043,香港保险,4,4,0,completed,详情页点击受限，从搜索结果页保存 4 条帖子和 4 个用户,2026-03-09 22:29:46.440849+00:00,2026-03-09 22:32:21.312223+00:00
24,2472460e-5dc4-4dda-819d-ee27a1a0de69,重疾险怎么选,4,4,0,completed,详情页点击受限，从搜索结果页保存 4 条帖子和 4 个用户,2026-03-09 22:49:35.808094+00:00,2026-03-09 22:52:28.885252+00:00
25,0669e2a5-ef25-4a6b-b283-341f75f58a09,移民保险,4,4,0,completed,详情页点击受限，从搜索结果页保存 4 条帖子和 4 个用户,2026-03-09 23:09:56.820619+00:00,2026-03-09 23:12:40.907193+00:00
26,77376985-1b8a-4410-a039-6a1fc8467860,医疗险推荐,4,4,0,completed,详情页点击受限，从搜索结果页保存 4 条帖子和 4 个用户,2026-03-09 23:30:08.618194+00:00,2026-03-09 23:33:27.441405+00:00
27,6fdfcffb-957d-4231-a06b-641e0e76e453,储蓄险,4,4,0,completed,详情页点击受限，从搜索结果页保存 4 条帖子和 4 个用户,2026-03-09 23:50:03.149084+00:00,2026-03-09 23:52:35.079445+00:00
28,04f97d8f-39b8-40b5-b560-0d4b68ce2f13,结婚买保险,4,4,0,completed,详情页点击受限，从搜索结果页保存 4 条帖子和 4 个用户,2026-03-10 00:09:54.587303+00:00,2026-03-10 00:12:25.902226+00:00
29,dea9ed36-5c02-424a-996f-943787195126,资产配置香港,4,0,0,completed,COMMENT_BLOCKED:所有帖子详情页点击超时，无法进入评论区读取评论，仅保存 4 条帖子摘要,2026-03-10 00:15:32.397933+00:00,2026-03-10 00:20:26.049144+00:00
30,914fd679-4b5f-4d86-947a-ae9c554110f1,养老规划,4,0,0,completed,COMMENT_BLOCKED:所有帖子详情页点击超时，无法进入评论区读取评论，仅保存 4 条帖子摘要,2026-03-10 00:30:12.940714+00:00,2026-03-10 00:35:44.856705+00:00
31,fe763f32-e022-42b0-a8cf-d5495b539b18,保险规划求助,4,0,0,completed,COMMENT_BLOCKED:截图驱动链路 (snapshot→点击 ref→screenshot--annotate 重试→滚动后重抓) 全部走完仍无法进入评论区，仅保存 4 条帖子摘要,2026-03-10 00:52:42.136205+00:00,2026-03-10 00:58:54.046385+00:00
32,52bbf672-8bab-4df6-9e2f-d33e52ce00ac,重疾险香港,4,0,0,completed,COMMENT_BLOCKED:增强回退链路全部走完仍无法进入评论区，仅保存 4 条帖子摘要,2026-03-10 02:22:36.005507+00:00,2026-03-10 03:10:30.615679+00:00
33,6ef52266-ccf8-4607-b708-330c45cf3c33,香港保险,4,0,0,completed,COMMENT_BLOCKED:增强回退链路执行失败，无法进入评论区，仅保存 4 条帖子摘要,2026-03-10 03:31:06.790686+00:00,2026-03-10 03:36:15.998328+00:00
34,97c1ed7f-decd-4dbf-8d10-6417679c2c3b,重疾险怎么选,4,0,0,completed,COMMENT_BLOCKED:增强回退链路执行失败，无法进入评论区，仅保存 4 条帖子摘要,2026-03-10 03:38:36.971419+00:00,2026-03-10 03:40:09.659943+00:00
35,7d77740c-7633-4e5c-8e1f-15c162b5be07,移民保险,4,0,0,completed,COMMENT_BLOCKED:增强回退链路执行失败，无法进入评论区，仅保存 4 条帖子摘要,2026-03-10 03:49:35.473384+00:00,2026-03-10 03:53:25.185591+00:00
36,0611a034-a187-4362-87d0-f305890fad76,医疗险推荐,4,0,0,completed,COMMENT_BLOCKED:增强回退链路执行失败，无法进入评论区，仅保存 4 条帖子摘要,2026-03-10 04:10:25.433805+00:00,2026-03-10 04:15:07.967024+00:00
37,f72b0d6e-9b7c-4a26-a257-60e4d501fa9c,储蓄险,4,0,0,completed,COMMENT_BLOCKED:增强回退链路执行失败，无法进入评论区，仅保存 4 条帖子摘要,2026-03-10 04:30:03.034372+00:00,2026-03-10 04:33:37.687393+00:00
38,6c57a950-efa6-4cb6-9705-b63c44c07e07,结婚买保险,4,0,0,completed,COMMENT_BLOCKED:增强回退链路执行失败，无法进入评论区，仅保存 4 条帖子摘要,2026-03-10 04:50:41.306998+00:00,2026-03-10 04:54:43.938521+00:00
39,a76497f6-3ace-40c3-bf07-59945e5935bb,资产配置香港,4,0,0,completed,COMMENT_BLOCKED:增强回退链路执行失败，无法进入评论区，仅保存 4 条帖子摘要,2026-03-10 05:10:17.442955+00:00,2026-03-10 05:14:48.718262+00:00
40,2f371247-0a6c-45cc-9045-53d3d5bbb525,养老规划,4,0,0,completed,COMMENT_BLOCKED:增强回退链路执行失败，无法进入评论区，仅保存 4 条帖子摘要,2026-03-10 05:33:53.228632+00:00,2026-03-10 05:36:04.659959+00:00
41,71482672-0719-4303-a006-77ff575ef028,保险规划求助,4,0,0,completed,COMMENT_BLOCKED:增强回退链路执行失败，无法进入评论区，仅保存 4 条帖子摘要,2026-03-10 06:03:39.063496+00:00,2026-03-10 06:08:46.905286+00:00
